"","bet","odds","datetime","url","bet.subject","time.of.day","numerator.bet","denominator.bet","probability","date","country"
"61","Leave","15/8","2016-03-29T09:52:35Z","https://web.archive.org/web/20160329095235/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,15,8,0.347826086956522,2016-03-29,"United Kingdom"
"62","Remain","2/5","2016-04-03T06:50:08Z","https://web.archive.org/web/20160403065008/http://www.oddschecker.com/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,2,5,0.714285714285714,2016-04-03,"United Kingdom"
"63","Leave","2/1","2016-04-03T06:50:08Z","https://web.archive.org/web/20160403065008/http://www.oddschecker.com/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,2,1,0.333333333333333,2016-04-03,"United Kingdom"
"64","Remain","4/9","2016-04-04T12:01:57Z","https://web.archive.org/web/20160404120157/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,4,9,0.692307692307692,2016-04-04,"United Kingdom"
"65","Leave","2/1","2016-04-04T12:01:57Z","https://web.archive.org/web/20160404120157/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,2,1,0.333333333333333,2016-04-04,"United Kingdom"
"66","Remain","4/9","2016-04-06T12:24:19Z","https://web.archive.org/web/20160406122419/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,4,9,0.692307692307692,2016-04-06,"United Kingdom"
"67","Leave","2/1","2016-04-06T12:24:19Z","https://web.archive.org/web/20160406122419/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,2,1,0.333333333333333,2016-04-06,"United Kingdom"
"68","Remain","4/9","2016-04-07T03:16:50Z","https://web.archive.org/web/20160407031650/http://www.oddschecker.com/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,4,9,0.692307692307692,2016-04-07,"United Kingdom"
"69","Leave","2/1","2016-04-07T03:16:50Z","https://web.archive.org/web/20160407031650/http://www.oddschecker.com/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,2,1,0.333333333333333,2016-04-07,"United Kingdom"
"70","Remain","4/9","2016-04-09T21:34:23Z","https://web.archive.org/web/20160409213423/http://www.oddschecker.com/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,4,9,0.692307692307692,2016-04-09,"United Kingdom"
"71","Leave","2/1","2016-04-09T21:34:23Z","https://web.archive.org/web/20160409213423/http://www.oddschecker.com/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,2,1,0.333333333333333,2016-04-09,"United Kingdom"
"72",NA,NA,"2016-04-11T23:49:57Z",NA,"referendum-on-eu-membership-result, eu-referendum",NA,NA,NA,NA,2016-04-11,"United Kingdom"
"73","Remain","4/9","2016-04-12T14:14:52Z","https://web.archive.org/web/20160412141452/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,4,9,0.692307692307692,2016-04-12,"United Kingdom"
"74","Leave","2/1","2016-04-12T14:14:52Z","https://web.archive.org/web/20160412141452/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,2,1,0.333333333333333,2016-04-12,"United Kingdom"
"75","Remain","2/5","2016-04-14T15:53:08Z","https://web.archive.org/web/20160414155308/http://www.oddschecker.com/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,2,5,0.714285714285714,2016-04-14,"United Kingdom"
"76","Leave","21/10","2016-04-14T15:53:08Z","https://web.archive.org/web/20160414155308/http://www.oddschecker.com/politics/british-politics/eu-referendum/referendum-on-eu-membership-result","referendum-on-eu-membership-result, eu-referendum",NA,21,10,0.32258064516129,2016-04-14,"United Kingdom"
"77","Remain","1/2","2016-04-18T20:55:25Z","https://web.archive.org/web/20160418205525/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result?","referendum-on-eu-membership-result, eu-referendum",NA,1,2,0.666666666666667,2016-04-18,"United Kingdom"
"78","Leave","21/10","2016-04-18T20:55:25Z","https://web.archive.org/web/20160418205525/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result?","referendum-on-eu-membership-result, eu-referendum",NA,21,10,0.32258064516129,2016-04-18,"United Kingdom"
"79","50 01  55 0 Percent","2/1","2016-04-18T20:55:25Z","https://web.archive.org/web/20160418205525/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result?","referendum-on-eu-membership-result, eu-referendum",NA,2,1,0.333333333333333,2016-04-18,"United Kingdom"
"80","55 01  60 0 Percent","7/2","2016-04-18T20:55:25Z","https://web.archive.org/web/20160418205525/http://www.oddschecker.com:80/politics/british-politics/eu-referendum/referendum-on-eu-membership-result?","referendum-on-eu-membership-result, eu-referendum",NA,7,2,0.222222222222222,2016-04-18,"United Kingdom"
